ARTICLE	VENITEM	VENITEM2
8393200008	B08063DS8ADIM	SIB
8393200312	E08436 SSBPE	SE
8393204190	R08756 SSABTDI6	SIRPET
8393206553	B08063DSSAAMDIM	SIBS
8393206555	B08063DSSABTDIM	SIBS
8393206562	B09089DSBADIM	SIB
8393206750	N08863DSSABODI17	SINS
8393211499	R08916DSSACIDI6	SIRS
8393214594	CH0286 SSBCE175	SN
8393214611	E08822 S8	SE
8393214652	R08789 SSADI6	SIRP
8393214653	R08789 SSADI7	SIRP
8393217210	N08863DSSAMODI17	SINS
8393217229	N09396 SSADI44	SIN
8393217505	R09330 SSADI5	SIRP
8393220671	R09501 SS6	SR
8393220876	CH0289 SSBCK17	SN
8393221865	R05740MSS11	MR
8393221871	R05740MSS75	MR
8393223644	R05790MSSABD11	MRP
8393223917	N09551 8836	GN
8393224282	R05727MBB75	MR
8393224290	R05727MBB12	MR
8393227004	R09802DSSABTDI7	SIRS
8393232426	N09896D88ADI17	GN
8393235966	R09330 SSAAM6	SRS
8393235980	R09330 SSAIB6	SRS
8393235982	R09330 SSAIB7	SRS
8393235994	R09330 SSABO6	SRS
8393236148	B09089DS8ADIM	SIB
8393236151	N09089DS8ADI17	SIN
8393236287	R09631DB8ADI7	SIRP
8393236634	E09271 SSAAM	SE
8393236638	E09271 SSABO	SE
8393238972	R05920MSSBPY8	MRS
8393238991	R05920MSSBTE11	MRS
8393239380	B11117 B8M	SB
8393244191	E11390DSSDPEDI	SIES
8393244332	N11272 SS36	SN
8393244334	N11272 SS18	SN
8393244368	B11296DSSADIS	SIB
8393244369	B11296DSSADIM	SIB
8393244375	B11297 S8CCIPTM	SBS
8393244500	B11243DSSADIS	SIB
8393244501	B11243DSSADIM	SIB
8393246636	N11455D88ADI17	GN
8393246639	E11456D88ADI	GE
8393246773	E11407 SSABT	SE
8393247435	D11482DSSADI	SID
8393247829	R15239MSS10	MR
8393247851	R15240MSS8	MR
8393250078	E11540DSSADI	SIE
8393250298	E11536DSBADI	SIE
8393250670	B15286MSSBRLEM	MRB
8393251331	B11552D88ADIM	GB
8393253243	D15400MTBABD	MD
8393253246	CH0346MTB22	MCN
8393253495	B15405MTBBMLBO	MB
8393253505	B15419MTBCBDBO	MBB
8393253901	B11771DSSADIM	SIB
8393253912	N11855 SS36	SN
8393253951	R11829DSSABTDI6	SIRS
8393253973	R11829DSSAPLDI7	SIRS
8393253985	R11829DSSAHEDI8	SIRS
8393253998	B11831D88ADIM	GB
8393254107	E11761DSBABD	SIE
8393254379	R11818 SBAAHES7	SRS
8393254764	E11717 SSACRHE	SE
8393254773	E11891 SSEHOHEQO	SE
8393254774	E11891 SSAAHSIIB	SE
8393254775	E11891 SSEGOIYQO	SE
8393255063	CH0350M8822	MCN
8393257267	B11888 S8M	SB
8393257272	E11940D88IMCRGDI	CT
8393257418	R11937DSSADI6	SIRP
8393257432	R11937 SS8	SR
8393257455	E11981DSBALCCD	SIES
8393257691	B11929 S8M	SB
8393257692	B11929 S8L	SB
8393257694	B11960 S8M	SB
8393257710	R11961DB8ABD7	SIRP
8393257719	B12031DSBAHEGWM	SIBS
8393257765	R11915 S8BLA7	SRS
8393257957	D15464MSSADI	MD
8393257978	D15465MSSABD	MD
8393259837	B11566 S4BGGCAM	SBS
8393259843	B11566 SSCAMHEM	SBS
8393259855	B11566 SSBHEHEM	SBS
8393259861	B11566 SSBBOGOM	SBS
8393259864	B12011DSSAAMDIM	SIBS
